ADBE,Date,Close
ADBE,1/4/2016 16:00:00,91.97
ADBE,1/5/2016 16:00:00,92.34
ADBE,1/6/2016 16:00:00,91.02
ADBE,1/7/2016 16:00:00,89.11
ADBE,1/8/2016 16:00:00,87.85
ADBE,1/11/2016 16:00:00,89.38
ADBE,1/12/2016 16:00:00,89.82
ADBE,1/13/2016 16:00:00,88.3
ADBE,1/14/2016 16:00:00,89.8
ADBE,1/15/2016 16:00:00,89.17
ADBE,1/19/2016 16:00:00,89.18
ADBE,1/20/2016 16:00:00,87.94
ADBE,1/21/2016 16:00:00,88
ADBE,1/22/2016 16:00:00,89.63
ADBE,1/25/2016 16:00:00,86.77
ADBE,1/26/2016 16:00:00,86.89
ADBE,1/27/2016 16:00:00,84.85
ADBE,1/28/2016 16:00:00,84.52
ADBE,1/29/2016 16:00:00,89.13
ADBE,2/1/2016 16:00:00,89.61
ADBE,2/2/2016 16:00:00,87.95
ADBE,2/3/2016 16:00:00,87.99
ADBE,2/4/2016 16:00:00,86.36
ADBE,2/5/2016 16:00:00,79.2
ADBE,2/8/2016 16:00:00,74.94
ADBE,2/9/2016 16:00:00,73.85
ADBE,2/10/2016 16:00:00,75.53
ADBE,2/11/2016 16:00:00,74.94
ADBE,2/12/2016 16:00:00,76.67
ADBE,2/16/2016 16:00:00,78.88
ADBE,2/17/2016 16:00:00,81.85
ADBE,2/18/2016 16:00:00,80.53
ADBE,2/19/2016 16:00:00,80.87
ADBE,2/22/2016 16:00:00,83.8
ADBE,2/23/2016 16:00:00,83.07
ADBE,2/24/2016 16:00:00,83.42
ADBE,2/25/2016 16:00:00,86.68
ADBE,2/26/2016 16:00:00,86.6
ADBE,2/29/2016 16:00:00,85.15
ADBE,3/1/2016 16:00:00,88.37
ADBE,3/2/2016 16:00:00,88.39
ADBE,3/3/2016 16:00:00,87.21
ADBE,3/4/2016 16:00:00,86.18
ADBE,3/7/2016 16:00:00,85.11
ADBE,3/8/2016 16:00:00,84.35
ADBE,3/9/2016 16:00:00,85.27
ADBE,3/10/2016 16:00:00,84.85
ADBE,3/11/2016 16:00:00,86
ADBE,3/14/2016 16:00:00,87.01
ADBE,3/15/2016 16:00:00,86.83
ADBE,3/16/2016 16:00:00,88.17
ADBE,3/17/2016 16:00:00,89.96
ADBE,3/18/2016 16:00:00,93.42
ADBE,3/21/2016 16:00:00,92.5
ADBE,3/22/2016 16:00:00,92.56
ADBE,3/23/2016 16:00:00,92.16
ADBE,3/24/2016 16:00:00,92.52
ADBE,3/28/2016 16:00:00,92.4
ADBE,3/29/2016 16:00:00,93.22
ADBE,3/30/2016 16:00:00,93.78
ADBE,3/31/2016 16:00:00,93.8
ADBE,4/1/2016 16:00:00,95.16
ADBE,4/4/2016 16:00:00,94.5
ADBE,4/5/2016 16:00:00,94.17
ADBE,4/6/2016 16:00:00,95.4
ADBE,4/7/2016 16:00:00,93.78
ADBE,4/8/2016 16:00:00,94.07
ADBE,4/11/2016 16:00:00,92.95
ADBE,4/12/2016 16:00:00,93.42
ADBE,4/13/2016 16:00:00,94.53
ADBE,4/14/2016 16:00:00,94.44
ADBE,4/15/2016 16:00:00,95.16
ADBE,4/18/2016 16:00:00,96.55
ADBE,4/19/2016 16:00:00,96.52
ADBE,4/20/2016 16:00:00,96.33
ADBE,4/21/2016 16:00:00,96.37
ADBE,4/22/2016 16:00:00,94.79
ADBE,4/25/2016 16:00:00,95.8
ADBE,4/26/2016 16:00:00,96.15
ADBE,4/27/2016 16:00:00,95.64
ADBE,4/28/2016 16:00:00,93.64
ADBE,4/29/2016 16:00:00,94.22
